['CO[P@@](=O)(N)SC', '(-)']
['COc1ccc(N2CCOCC2)c2sc(NC(=O)C[C@@H]3CC[C@H](O)C3)nc12', '(-)']
['C1CN[C@H](C2=CC=CC=C21)C3=CC=CC=C3.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O', '(-)']
['O=C(O)[C@H](O)[C@@H](O)C(=O)O.c1ccc([C@H]2NCCc3ccccc32)cc1', '(+)']
['C1[C@@H](N(N=C1C2=CC=C(C=C2)F)C(=S)N)C3=CC=C(C=C3)Cl', '(+)']
['NC(=S)N1N=C(c2ccc(F)cc2)C[C@H]1c1ccc(Cl)cc1', '(-)']
['C[C@H](C1=CN=CC=C1)C2=C(SC3=CC=CC=C32)CCN(C)C', '(-)']
['C[C@@H](c1cccnc1)c1c(CCN(C)C)sc2ccccc12', '(+)']
['C1C[C@@H]2[C@H]1[C@@H]3[C@H]2[C@@H]4[C@H]3[C@@H]5[C@H]4[C@H](C5)CCCCCCCC(=O)O', '(+)']
['O=C(O)CCCCCCC[C@@H]1C[C@H]2[C@@H]3[C@H]4[C@@H]5CC[C@@H]5[C@H]4[C@@H]3[C@@H]12', '(-)']
['CN1C(=O)[C@@]23C[C@]4([C@@H](N2C(=O)[C@@]1(SS3)CO)NC5=CC=CC=C54)[C@]67C[C@]89C(=O)N([C@](C(=O)N8[C@H]6NC1=CC=CC=C71)(SS9)CO)C', '(+)']
['CN1C(=O)[C@]23C[C@@]4([C@@]56C[C@]78SS[C@](CO)(C(=O)N7[C@@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@H]4N2C(=O)[C@@]1(CO)SS3', '(-)']
['CN1CC[C@@H]([C@@H](C1)F)N(C)C(=O)N2CC(=C[C@@]2(CO)C3=CC=CC=C3)C4=C(C=CC(=C4)F)F', '(-)']
['CN1CC[C@@H](N(C)C(=O)N2CC(c3cc(F)ccc3F)=C[C@]2(CO)c2ccccc2)[C@@H](F)C1', '(+)']
['CC(=C)C(=O)CC/C(=C/[C@@H]1[C@@]2(C[C@@H](C=CC2=O)OC(=O)C)CC(=O)O1)/C', '(+)']
['C=C(C)C(=O)CC/C(C)=C/[C@@H]1OC(=O)C[C@@]12C[C@@H](OC(C)=O)C=CC2=O', '(-)']
['C[C@H]1CCCCN1CCCCC2=CC=CC3=C2C=CC(=C3)OC', '(+)']
['COc1ccc2c(CCCCN3CCCC[C@H]3C)cccc2c1', '(-)']
['CC(=CCC/C(=C/[C@@H]1[C@@]2(C[C@@H]([C@H](CC2=O)OC)O)CC(=O)O1)/C)C', '(+)']
['CO[C@@H]1CC(=O)[C@]2(CC(=O)O[C@H]2/C=C(\\C)CCC=C(C)C)C[C@H]1O', '(-)']
['C/C=C(/C=O)\\[C@@H](CC=O)CC(=O)OCCC1=CC=C(C=C1)O', '(-)']
['C/C=C(/C=O)[C@H](CC=O)CC(=O)OCCc1ccc(O)cc1', '(+)']
['CC1=CC(=C2C(=C1)O[C@]3([C@H](CC[C@@H]([C@@]3(C2=O)O)O)O)C)O', '(+)']
['Cc1cc(O)c2c(c1)O[C@]1(C)[C@H](O)CC[C@@H](O)[C@@]1(O)C2=O', '(-)']
['C([C@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O', '(-)']
['OC[C@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O', '(+)']
['CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)Cl', '(+)']
['CC(C)[C@@H](C(=O)Cl)c1ccc(Cl)cc1', '(-)']
['CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(=C)C=O', '(-)']
['C=C[C@@]1(C)CC[C@H](C(=C)C=O)C[C@@H]1C(=C)C', '(+)']
['C[N+]1=CN(C=C1)C[C@@H](CO)O.[Cl-]', '(+)']
['C[n+]1ccn(C[C@@H](O)CO)c1.[Cl+]', '(-)']
['CO[C@H](C1=CC=CC=C1)C(=O)Cl', '(-)']
['CO[C@H](C(=O)Cl)c1ccccc1', '(+)']
['C1CC[C@H]([C@@H](C1)N)N.Cl', '(-)']
['Cl.N[C@H]1CCCC[C@@H]1N', '(+)']
['C1CN(CCC1CCOC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C[C@H](CC4=CC=CC=C4)N', '(+)']
['N[C@H](Cc1ccccc1)CN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1', '(-)']
['C1CN(CCC1CCOC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C[C@H](CC4=CC=CC=C4)O', '(+)']
['O[C@H](Cc1ccccc1)CN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1', '(-)']
['C[C@@H]1C[C@H]2CC[C@@H](/C(=C/[C@H]3C(=C(CC[C@@]34CCCN=C4CC/C=C(/[C@@H]1O2)\\C)[C@@H]5C=C(C(=O)O5)C)C)/C)O', '(-)']
['CC1=C[C@H](C2=C(C)[C@H]3/C=C(\\C)[C@H](O)CC[C@H]4C[C@H](C)[C@H](O4)/C(C)=C/CCC4=NCCC[C@]43CC2)OC1=O', '(+)']
['C[C@@H]1C[C@H]2C(=C(C1)C[C@H]3CCC[C@H](N3)CC4=C5CCCN([C@H]5C[C@H](C4)C)C(=O)C)CCCN2C(=O)C', '(-)']
['CC(=O)N1CCCC2=C(C[C@H]3CCC[C@@H](CC4=C5CCCN(C(C)=O)[C@@H]5C[C@H](C)C4)N3)C[C@@H](C)C[C@H]21', '(+)']
['C1CN(CC2=C1SC=C2)[C@@H](C3=CC=CC=C3Cl)C(=O)O.OS(=O)(=O)O', '(+)']
['O=C(O)[C@@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O', '(-)']
['CC1(C2=CC(=C(C=C2[C@@H]3[C@@H](O1)CC4=C(C=C(C=C4O3)O)O)O)O)C', '(+)']
['CC1(C)O[C@@H]2Cc3c(O)cc(O)cc3O[C@H]2c2cc(O)c(O)cc21', '(-)']
['C[C@@]12C[C@H]([C@@H](C=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O)O', '(-)']
['COc1cc(O)c2c(c1)C1=C[C@H](O)[C@@H](O)C[C@]1(C)OC2=O', '(+)']
['CCCC/C=N/[S@](=O)C1=CC=C(C=C1)C', '(-)']
['CCCC/C=N/[S@@](=O)c1ccc(C)cc1', '(+)']
['C1[C@@H]([C@H]([C@H]([C@H](N1)CO)O)O)O.Cl', '(+)']
['Cl.OC[C@@H]1NC[C@@H](O)[C@H](O)[C@@H]1O', '(-)']
['CC(=O)N[C@H]1CCCN2[C@H]1CCCC2', '(+)']
['CC(=O)N[C@@H]1CCCN2CCCC[C@H]12', '(-)']
['CC1=CC2=C(CC[C@@H]2O)C=C1', '(+)']
['Cc1ccc2c(c1)[C@H](O)CC2', '(-)']
['C[C@@H]1CCN2[C@@H]1CCC2', '(+)']
['C[C@H]1CCN2CCC[C@@H]12', '(-)']
['C[C@@H]1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F', '(+)']
['C[C@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1', '(-)']
['CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32.C(=O)(C(=O)O)O', '(+)']
['CNCC[C@@H](Oc1cccc2ccccc12)c1cccs1.O=C(O)C(=O)O', '(-)']
['CN1CCC2=C3[C@H]1CC4=C(C3=CC(=C2)C5=CC=C(C=C5)O)C(=C(C=C4)O)O', '(-)']
['CN1CCc2cc(-c3ccc(O)cc3)cc3c2[C@@H]1Cc1ccc(O)c(O)c1-3', '(+)']
['C[C@@H]1CC[C@@H]2[C@](CCCC2(C)C)(C3=C1OC4=C(C(=C(C=C34)O)O)C=O)C', '(+)']
['C[C@H]1CC[C@@H]2C(C)(C)CCC[C@@]2(C)c2c1oc1c(C=O)c(O)c(O)cc21', '(-)']
['CC(=CCC/C(=C/[C@@H]1[C@@]2(C[C@@H]([C@H](CC2=O)O)O)CC(=O)O1)/C)C', '(+)']
['CC(C)=CCC/C(C)=C/[C@@H]1OC(=O)C[C@@]12C[C@@H](O)[C@H](O)CC2=O', '(-)']
['CC1=CC2=C(C[C@@H]3[C@H]4[C@@]2(CCCC4)CCN3C)C=C1', '(+)']
['Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3', '(-)']
['C1[C@@H]2[C@]1(CNC2)C3=CC(=C(C=C3)Cl)Cl', '(-)']
['Clc1ccc([C@]23CNC[C@H]2C3)cc1Cl', '(+)']
['CC1=CC(=C2CCC[C@@H](C2=C1)O)C', '(+)']
['Cc1cc(C)c2c(c1)[C@H](O)CCC2', '(-)']
['CC(C)C[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2CC1=O)OC)OC', '(-)']
['COc1cc2c(cc1OC)[C@H]1CC(=O)[C@H](CC(C)C)CN1CC2', '(+)']
['C1CC2(CCN(CC2)CCCNC(=O)[C@H](CC3=CC=CC=C3)O)C4=CC=CC=C41', '(-)']
['O=C(NCCCN1CCC2(CCc3ccccc32)CC1)[C@H](O)Cc1ccccc1', '(+)']
['COC1=C2C(=CC(=C1N3C[C@H]4CCCN[C@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O', '(+)']
['COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12', '(-)']
['C[C@@]12CCN(C[C@@H](C1)CC3=C2C=C(C=C3)O)C.Br', '(-)']
['Br.CN1CC[C@@]2(C)C[C@H](Cc3ccc(O)cc32)C1', '(+)']
['CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O', '(+)']
['CC[C@@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12', '(-)']
['C[C@H](CCC1=CC=CC=C1)NCC2=CC=CC=C2', '(+)']
['C[C@@H](CCc1ccccc1)NCc1ccccc1', '(-)']
['C[C@]12CCCC([C@@H]1C[C@@H](O2)C3=COC=C3)(C)C', '(+)']
['CC1(C)CCC[C@@]2(C)O[C@H](c3ccoc3)C[C@H]12', '(-)']
['C[C@H](CCN1CCC(CC1)CCOC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C4=CC=CC=C4', '(-)']
['C[C@@H](CCN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1', '(+)']
['C1CN(CCC1CCOC(C2=CC=CC=C2)C3=CC=CC=C3)C[C@@H](CC4=CC=CC=C4)O', '(-)']
['O[C@@H](Cc1ccccc1)CN1CCC(CCOC(c2ccccc2)c2ccccc2)CC1', '(+)']
['C[C@]12CC=C3C=C4[C@H]([C@@H]([C@H](C[C@]45CC[C@@]3([C@@H]1C[C@@H]([C@@H]2C6=CC7=C(C=C6)C=CN=C7)O)O5)N(C)C)O)O', '(+)']
['CN(C)[C@@H]1C[C@]23CC[C@]4(O2)C(=CC[C@@]2(C)[C@H](c5ccc6ccncc6c5)[C@H](O)C[C@@H]24)C=C3[C@H](O)[C@H]1O', '(-)']
['CC(=CCC/C(=C/[C@@H]1[C@@]2(C[C@@H]([C@@H](CC2=O)NC(=O)C)O)CC(=O)O1)/C)C', '(+)']
['CC(=O)N[C@H]1CC(=O)[C@]2(CC(=O)O[C@H]2/C=C(\\C)CCC=C(C)C)C[C@H]1O', '(-)']
['COC1=CC=C(C=C1)[C@H]2CCC[C@H](O2)CCC3=CC=C(C=C3)O', '(+)']
['COc1ccc([C@@H]2CCC[C@H](CCc3ccc(O)cc3)O2)cc1', '(-)']
['C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@@](=O)CC(=O)O', '(+)']
['O=C(O)C[S@@](=O)C(c1ccccc1)c1ccccc1', '(-)']
['C1CN(CCC1CCOC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)CC[C@@H](C4=CC=CC=C4)O', '(-)']
['O[C@H](CCN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1', '(+)']
['CC1=C(N=C(O1)C2=CC=C(C=C2)C3=CC=C(C=C3)S(=O)(=O)C)CCN4CCC[C@H]4COC', '(+)']
['COC[C@H]1CCCN1CCc1nc(-c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2)oc1C', '(-)']
['C[C@@H]1[C@@H]2[C@@H](C[C@@H]3CCCC[C@H]3[C@@H]2/C=C/C4=NC5=C(C=C4)C=C(C=C5)OCC(=O)O)C(=O)O1', '(+)']
['C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/c3ccc4cc(OCC(=O)O)ccc4n3)[C@@H]12', '(-)']
['CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC=CC=C45)C', '(+)']
['CC[C@@]12C=CCN3CC[C@]4(c5ccccc5N(C)[C@@H]4[C@](O)(C(=O)OC)[C@H]1OC(C)=O)[C@H]32', '(-)']
['C[C@H]1CCCN(C1)CCCCC2=CC=CC3=C2C=CC(=C3)OC', '(+)']
['COc1ccc2c(CCCCN3CCC[C@@H](C)C3)cccc2c1', '(-)']
['CC1=CC(=CC(=C1)C([C@@H]2CCCN2)(C3=CC(=CC(=C3)C)C)O)C', '(-)']
['Cc1cc(C)cc(C(O)(c2cc(C)cc(C)c2)[C@H]2CCCN2)c1', '(+)']
['CC(C)C1=C(C2=C(C(=O)C1=O)[C@@]3(CCCC(C3=C2)(C)C)C)O', '(+)']
['CC(C)C1=C(O)C2=C(C(=O)C1=O)[C@@]1(C)CCCC(C)(C)C1=C2', '(-)']
['C1[C@@H](OC2=C(O1)C=C(C=C2)Cl)CNS(=O)(=O)N', '(-)']
['NS(=O)(=O)NC[C@@H]1COc2cc(Cl)ccc2O1', '(+)']
['CN(C)C[C@@H]1C[C@H]1C2=CNC3=C2C=C(C=C3)C#N', '(-)']
['CN(C)C[C@H]1C[C@@H]1c1c[nH]c2ccc(C#N)cc12', '(+)']
['C1=CC=C(C=C1)[C@@H](C2=CC=CC=C2Cl)O', '(-)']
['O[C@H](c1ccccc1)c1ccccc1Cl', '(+)']
['C1=CC=C(C(=C1)[C@@H](CC(=O)O)O)Cl', '(+)']
['O=C(O)C[C@H](O)c1ccccc1Cl', '(-)']
['CC1=C2CC[C@@H](C2=CC=C1)O', '(+)']
['Cc1cccc2c1CC[C@H]2O', '(-)']
['C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@H]3[C@@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O)O)O)C7=CC(=C(C=C7)O)O)O', '(+)']
['O=C(O[C@@H]1[C@@H](c2c(O)cc(O)c3c2O[C@@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1', '(-)']
['CC1=C(C2=C3N1[C@H](COC3=CC=C2)CN4CCOCC4)C(=O)C5=CC=CC6=CC=CC=C65.CS(=O)(=O)O', '(-)']
['CS(=O)(=O)O.Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3', '(+)']
['CN1CCCC[C@H]1CN2C=C(C3=CC=CC=C32)C(=O)C4=CC=CC=C4I', '(-)']
['CN1CCCC[C@@H]1Cn1cc(C(=O)c2ccccc2I)c2ccccc21', '(+)']
['CC1(CN(CC[C@H]1N)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F)C.Cl', '(+)']
['COc1c(N2CC[C@H](N)C(C)(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl', '(-)']
['C[N+](C)(C)[C@@H](CC1=CNC2=C1C=C(C=C2)Br)C(=O)O', '(+)']
['C[N+](C)(C)[C@H](Cc1c[nH]c2ccc(Br)cc12)C(=O)O', '(-)']
['C1CC[C@H]([C@@H](C1)C#N)OC2=CC(=C(C=C2)C#N)C(F)(F)F', '(+)']
['N#Cc1ccc(O[C@H]2CCCC[C@@H]2C#N)cc1C(F)(F)F', '(-)']
['C1C[C@@H](N2C[C@H]1N(C2=O)OS(=O)(=O)O)C(=O)N', '(+)']
['NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O', '(-)']
['CC[C@@H](C(=O)O)N1CCCC1=O', '(-)']
['CC[C@H](C(=O)O)N1CCCC1=O', '(+)']
['CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O', '(+)']
['CCC1=C[C@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@@H]1[C@](O)(C(=O)OC)[C@@H](OC(C)=O)[C@@]4(CC)C=CCN5CC[C@@]31[C@H]54)C2.O=C(O)[C@@H](O)[C@H](O)C(=O)O.O=C(O)[C@@H](O)[C@H](O)C(=O)O', '(-)']
['C1CCN(CC1)CCOC2=CC=C(C=C2)[C@H]3C4=C(C=CC5=C4C=CC(=C5)O)C6=C(O3)C(=CC(=C6)F)F', '(-)']
['Oc1ccc2c3c(ccc2c1)-c1cc(F)cc(F)c1O[C@@H]3c1ccc(OCCN2CCCCC2)cc1', '(+)']
['CC1=CC(=CC2=C1[C@@H]3C4=C(C5=C(C=C4C[C@@](O3)(O2)C)C(C6=C(C5=O)C(=CC(=C6)O)O)(C)C)O)O', '(-)']
['Cc1cc(O)cc2c1[C@@H]1O[C@@](C)(Cc3cc4c(c(O)c31)C(=O)c1c(O)cc(O)cc1C4(C)C)O2', '(+)']
['COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3CO[C@H]([C@@H]3CO2)C4=CC(=C(C(=C4)OC)O)OC', '(-)']
['COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2cc(OC)c(O)c(OC)c2)cc(OC)c1O', '(+)']
['CN1[C@H]([C@@H](N(C1=N[C@H](CC2=CC=CC=C2)CO)C)C3=CC=CC=C3)C4=CC=CC=C4', '(+)']
['CN1C(=N[C@H](CO)Cc2ccccc2)N(C)[C@H](c2ccccc2)[C@H]1c1ccccc1', '(-)']
['C[C@H](C1=NOC(=N1)C2=CC(=CC=C2)Cl)OC3=NN=C(N3C)C4=CC=NC=C4', '(-)']
['C[C@H](Oc1nnc(-c2ccncc2)n1C)c1noc(-c2cccc(Cl)c2)n1', '(+)']
['C1=CC(=C(C=C1Cl)Cl)[C@@H](CN2C=NC=N2)COC(C(F)F)(F)F', '(-)']
['FC(F)C(F)(F)OC[C@@H](Cn1cncn1)c1ccc(Cl)cc1Cl', '(+)']
['C1=CC(=C(C=C1Cl)Cl)[C@H](CN2C=NC=N2)COC(C(F)F)(F)F', '(+)']
['FC(F)C(F)(F)OC[C@H](Cn1cncn1)c1ccc(Cl)cc1Cl', '(-)']
['CCS(=O)(=O)C[C@@](C)(C1=CC2=CC(=C(C=C2N1)C(F)(F)F)C#N)O', '(-)']
['CCS(=O)(=O)C[C@@](C)(O)c1cc2cc(C#N)c(C(F)(F)F)cc2[nH]1', '(+)']
['C1[C@@H](N2C(=CC(=C2Br)Br)C(=O)N1)CC(=O)O', '(-)']
['O=C(O)C[C@@H]1CNC(=O)c2cc(Br)c(Br)n21', '(+)']
['C[C@H](CC1=CC(=C(C=C1)O)OC)[C@H](C)CC2=CC(=C(C=C2)O)OC', '(-)']
['COc1cc(C[C@H](C)[C@@H](C)Cc2ccc(O)c(OC)c2)ccc1O', '(+)']
['CC(=CCC/C(=C/[C@@H]1[C@@]2(C[C@H](O1)C=CC2=O)CC(=O)OC)/C)C', '(-)']
['COC(=O)C[C@]12C[C@H](C=CC1=O)O[C@H]2/C=C(\\C)CCC=C(C)C', '(+)']
['CC(=C)[C@H]1CC2=C(O1)C=C(C3=C2NC4=C(C3=O)C=CC=C4O)O', '(+)']
['C=C(C)[C@@H]1Cc2c(cc(O)c3c(=O)c4cccc(O)c4[nH]c23)O1', '(-)']
['C1=CC=C(C(=C1)[C@@H](CC(=O)O)O)Br', '(+)']
['O=C(O)C[C@H](O)c1ccccc1Br', '(-)']
['C[C@H]1CC[C@@H]2[C@@]([C@H]1C(=O)O)(CCCC2(C)C)C', '(+)']
['C[C@@H]1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1C(=O)O', '(-)']
['C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O', '(+)']
['O=C(O)[C@@H](O)Cc1ccc(O)c(O)c1', '(-)']
['C1CN(CCC1CCOC(C2=CC=CC=C2)C3=CC=CC=C3)C[C@H](CC4=CC=CC=C4)O', '(+)']
['O[C@H](Cc1ccccc1)CN1CCC(CCOC(c2ccccc2)c2ccccc2)CC1', '(-)']
['C[C@]1(CC[C@H]2C(=CCCC2(C)C)C1)O', '(+)']
['CC1(C)CCC=C2C[C@@](C)(O)CC[C@H]21', '(-)']
['COC1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)OC)N4[C@H]5CS[C@H]([C@H]5NC4=O)CCCCC(=O)O', '(+)']
['COc1ccc(C(c2ccccc2)(c2ccc(OC)cc2)N2C(=O)N[C@@H]3[C@H]2CS[C@@H]3CCCCC(=O)O)cc1', '(-)']
['CC1=C(C=C(C=C1)N2C=CN=C2)[C@H](C3=C(C=C(C=C3C)C(=O)O)C)O', '(+)']
['Cc1ccc(-n2ccnc2)cc1[C@H](O)c1c(C)cc(C(=O)O)cc1C', '(-)']
['CNC[C@@H](C1=CC(=C(C=C1)O)O)O.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O', '(-)']
['CNC[C@@H](O)c1ccc(O)c(O)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)O', '(+)']
['C1CN[C@H]([C@@H](N1)C2=CC=CC=C2)C3=CC=CC=C3', '(-)']
['c1ccc([C@H]2NCCN[C@@H]2c2ccccc2)cc1', '(+)']
['CC1=C[C@H]2C(=C(CCCC2(C)C)C)CC1', '(+)']
['CC1=C[C@@H]2C(=C(C)CCCC2(C)C)CC1', '(-)']
['CC1=CC[C@]2(CCC(=C(C)C)[C@@H]2CC1)C', '(+)']
['CC1=CC[C@]2(C)CCC(=C(C)C)[C@H]2CC1', '(-)']
['C=CC[C@@]1(CCC2=CC=CC=C21)O', '(+)']
['C=CC[C@@]1(O)CCc2ccccc21', '(-)']
['C[C@H](CC1=CC=CC=C1)CN2CCC(CC2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F', '(-)']
['C[C@@H](Cc1ccccc1)CN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1', '(+)']
['C[C@]12CC=C3C=C4[C@H]([C@@H]([C@H](C[C@]45CC[C@@]3([C@@H]1CC(=O)[C@@H]2C6=CC7=C(C=C6)C=CN=C7)O5)N(C)C)O)O', '(-)']
['CN(C)[C@@H]1C[C@]23CC[C@]4(O2)C(=CC[C@@]2(C)[C@H](c5ccc6ccncc6c5)C(=O)C[C@@H]24)C=C3[C@H](O)[C@H]1O', '(+)']
['CC(=CCC/C(=C/CC/C(=C/CC/C(=C/COC[C@@H](CO)O)/C)/C)/C)C', '(-)']
['CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COC[C@@H](O)CO', '(+)']
['C/C(=C\\[C@@H]1[C@@]2(C[C@@H](C=CC2=O)OC(=O)C)CC(=O)O1)/C/C=C/C(C)(C)O', '(+)']
['CC(=O)O[C@H]1C=CC(=O)[C@]2(CC(=O)O[C@H]2/C=C(\\C)C/C=C/C(C)(C)O)C1', '(-)']
['C[C@@H](C1=CC=CC=N1)C2=C(SC3=CC=CC=C32)CCN(C)C', '(-)']
['C[C@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12', '(+)']
['C1[C@H](C(=O)C2=C(O1)C=C(C=C2)O)C3=CC=C(C=C3)O', '(+)']
['O=C1c2ccc(O)cc2OC[C@@H]1c1ccc(O)cc1', '(-)']
['CC1=C[C@H]([C@@H](CC1)C(=C)C)O', '(+)']
['C=C(C)[C@H]1CCC(C)=C[C@@H]1O', '(-)']
['COC[C@@H]1CCCN1C=O', '(-)']
['COC[C@H]1CCCN1C=O', '(+)']
['CSC1=CC=C(C=C1)C2=CC=CC=C2[C@@H]3CCC(C[C@H]3C(=O)NCC#N)(F)F', '(-)']
['CSc1ccc(-c2ccccc2[C@H]2CCC(F)(F)C[C@@H]2C(=O)NCC#N)cc1', '(+)']
['COC(=O)[C@@]1(C[C@@H]1CN2CCC(CC2)(C3=CC=C(C=C3)Cl)O)C4=CC=CC=C4', '(+)']
['COC(=O)[C@@]1(c2ccccc2)C[C@H]1CN1CCC(O)(c2ccc(Cl)cc2)CC1', '(-)']
['CN1CCN(CC1)C[C@H](C2=CC(=CC=C2)OC(F)(F)F)C3(CCCCC3)O', '(-)']
['CN1CCN(C[C@@H](c2cccc(OC(F)(F)F)c2)C2(O)CCCCC2)CC1', '(+)']
['CC[C@H](C)/C=C(\\C)/C=C/C1=CC2=CC3=C(C(=O)O[C@]3(C(=O)C2=CO1)C)C(=O)C', '(-)']
['CC[C@@H](C)/C=C(C)/C=C/C1=CC2=CC3=C(C(C)=O)C(=O)O[C@]3(C)C(=O)C2=CO1', '(+)']
['CN(C)C[C@@H]1C[C@H]1C2=CNC3=C2C=C(C=C3)F', '(-)']
['CN(C)C[C@H]1C[C@@H]1c1c[nH]c2ccc(F)cc12', '(+)']
['C1C[C@@H]([C@H](C1)O)N', '(+)']
['N[C@@H]1CCC[C@H]1O', '(-)']
['C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)C#N)N4C[C@H]5[C@H](C4)OCCN5)F)C(=O)O', '(-)']
['N#Cc1c(N2C[C@H]3NCCO[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12', '(+)']
['CC1=C(N=C(O1)C2=CC=C(C=C2)Br)CCN3CCC[C@H]3COC', '(+)']
['COC[C@H]1CCCN1CCc1nc(-c2ccc(Br)cc2)oc1C', '(-)']
['C[C@@H]1CN([C@H]2C[C@@H](C[C@@]1(C2)C3=CC(=CC=C3)O)N)CCCC4=CC=CC=C4', '(-)']
['C[C@H]1CN(CCCc2ccccc2)[C@@H]2C[C@@H](N)C[C@@]1(c1cccc(O)c1)C2', '(+)']
['COC1=CC2=C(C[C@@H]3[C@H]4[C@@]2(CCCC4)CCN3)C=C1.Cl', '(+)']
['COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)NCC3.Cl', '(-)']
['CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(=C)CO', '(-)']
['C=C[C@@]1(C)CC[C@H](C(=C)CO)C[C@@H]1C(=C)C', '(+)']
['CN1[C@H]2CC[C@@H]1C(=CC2)C(=O)O', '(-)']
['CN1[C@H]2CC=C(C(=O)O)[C@@H]1CC2', '(+)']
['COC(=O)C[C@H](C1=CC=C(C=C1)F)O', '(+)']
['COC(=O)C[C@H](O)c1ccc(F)cc1', '(-)']
['C[C@]12CC=C3C=C4[C@H]([C@@H]([C@H](C[C@]45CC[C@@]3([C@@H]1CC(=O)[C@@]2(C6=CC7=C(C=C6)C=CN=C7)O)O5)N(C)C)O)O', '(-)']
